id,domain,text
S001,school,"ថ្ងៃស្អែក ខ្ញុំមាន presentation សម្រាប់មុខវិជ្ជា AI។"
S002,school,"អ្នកគ្រូបានផ្ញើ homework ថ្មីក្នុង Telegram group។"
S003,school,"ខ្ញុំត្រូវសរសេរ report មួយសម្រាប់ project ចុងក្រោយ។"
S004,school,"យប់មិញខ្ញុំ study ដល់ម៉ោងយប់ ព្រោះមាន exam ព្រឹកនេះ។"
S005,school,"ពេល online class ខ្លះ ខ្ញុំមិនសូវស្តាប់ព្រោះ internet មិនល្អ។"
S006,school,"ក្រុមខ្ញុំមិនទាន់ត្រៀម group presentation រួចទេ។"
S007,school,"សូម upload ឯកសាររបស់អ្នកឡើង Google Drive មុន deadline។"
S008,school,"ថ្ងៃស្អែកយើងមាន lab session សម្រាប់មុខវិជ្ជា Programming។"
S009,work,"ថ្ងៃនេះមាន meeting ពេលម៉ោងបីកន្លះល្ងាច។"
S010,work,"ខ្ញុំមិនទាន់ចប់ report ទេ ប៉ុន្តែ deadline ជាពេលយប់នេះ។"
S011,work,"អ្នកម៉ាឲ្យខ្ញុំ update ការងារទាំងអស់ក្នុង email។"
S012,work,"ពេល Zoom meeting មាន background noise ច្រើនណាស់។"
S013,work,"សូម share screen បង្ហាញ slides ទៅក្រុម។"
S014,work,"ខ្ញុំត្រូវ work overtime ព្រោះ project នេះជិត deadline ហើយ។"
S015,work,"យើងមាន team building ខែក្រោយ នៅខេត្ត។"
S016,work,"ក្នុង office ពេលព្រឹកៗគេលេងចម្រៀងដើម្បីបង្កើន motivation។"
S017,tech,"ខ្ញុំ scroll Facebook រាល់ព្រឹក មុនទៅរៀន។"
S018,tech,"ខ្ញុំលេង TikTok រហូតដល់ភ្លេចធ្វើ homework។"
S019,tech,"សូម check notification នៅលើទូរស័ព្ទមើល មានអ្វីថ្មី។"
S020,tech,"ខ្ញុំពិបាក login ចូល account email ព្រោះខ្ញុំភ្លេច password។"
S021,school,"ថ្ងៃស្អែកមាន quiz ប៉ុន្តែខ្ញុំនៅមិនទាន់ review ផង។"
S022,tech,"ពេល internet យឺត ខ្ញុំមិនអាចមើល video បានស្រួលទេ។"
S023,tech,"ខ្ញុំចូលចិត្តថត vlog ហើយបង្ហោះលើ Instagram។"
S024,tech,"ខ្ញុំត្រូវ update software នៅលើកុំព្យូទ័រ ព្រោះមាន error។"
S025,school,"តើអ្នកណា​អាចធ្វើ slides ហើយខ្ញុំនឹង demo ក្នុង class ថ្ងៃសៅរ៍?"
