id,domain,sentence
1,work,ជួយ send email ហ្នឹងទៅ client ឲ្យបន្តិច។
2,work,ថ្ងៃនេះមាន meeting ម៉ោងពីរកន្លះ។
3,work,Boss គាត់សុំមើល report ហ្នឹងថ្ងៃនេះ។
4,work,I think យើងគួរតែ update slide នេះបន្តិច។
5,work,Deadline គឺថ្ងៃសុក្រចឹងត្រូវ clear task ឲ្យអស់។
6,work,ឯងមានបាន check group chat អត់?
7,work,ជួយ print document ហ្នឹងឲ្យខ្ញុំមួយសន្លឹកផង។
8,work,Project នេះតម្រូវឲ្យមាន teamwork ល្អ។
9,work,សុំច្បាប់ HR មួយថ្ងៃព្រោះ I am sick.
10,work,ខ្ញុំទើបតែ finish task ដែល manager ដាក់ឲ្យ។
11,work,Please review file ហ្នឹងមុនពេលយើង present.
12,work,យើងត្រូវការ feedback ពី customer ឲ្យបានលឿន។
13,work,"ថ្ងៃនេះរវល់សាហាវ, back-to-back meetings តែម្តង។"
14,work,អត់ទាន់បាន approve ពី director ទេចឹង wait សិន។
15,work,"តោះទៅញ៉ាំអី, it's lunch break!"
16,work,ខ្ញុំគិតថា budget សម្រាប់ campaign នេះរាងតិច។
17,work,Can you share screen ឲ្យខ្ញុំមើលបន្តិចបានអត់?
18,work,ឯងជួយ follow up ជាមួយ supplier ហ្នឹងផង។
19,work,យើងត្រូវ submit proposal នេះ by end of the day.
20,work,Team យើងធ្វើការងារនេះបាន good job មែនទែន។
21,work,I'll forward message ហ្នឹងទៅឲ្យគាត់ឥឡូវនេះ។
22,work,ឯង save file ហ្នឹងទុកក្នុង drive ឬនៅ?
23,work,អាទិត្យនេះរាង stress ព្រោះការងារច្រើន។
24,work,ជួយ confirm attendance សម្រាប់ event ថ្ងៃស្អែកផង។
25,work,"បើមានបញ្ហាអី, you can direct message មកខ្ញុំបាន។"
26,work,យើងត្រូវ prepare agenda សម្រាប់ meeting រសៀលនេះ។
27,work,តោះ brainstorm គំនិតថ្មីៗសម្រាប់ project ហ្នឹង។
28,work,ខ្ញុំអត់សូវយល់ point ដែលគាត់និយាយមិញហ្នឹងទេ។
29,work,Please CC ខ្ញុំផងពេលឯង send ទៅ។
30,work,គាត់ទើបតែ resign កាលពីខែមុន។
31,work,យើងកំពុងតែ recruit អ្នកថ្មីសម្រាប់ position ហ្នឹង។
32,work,តោះ wrap up meeting ហ្នឹងត្រឹមនេះចុះ។
33,work,ខ្ញុំចង់សុំ leave ពីរថ្ងៃនៅសប្តាហ៍ក្រោយ។
34,work,Document នេះត្រូវមាន signature ពី CEO សិន។
35,work,ឯងយក laptop មក office អត់ថ្ងៃនេះ?
36,work,I need your help ជាមួយ Excel sheet នេះបន្តិច។
37,work,Performance review ឆ្នាំនេះរាងតឹងបន្តិចហើយ។
38,work,យើងត្រូវ hit target ប្រចាំខែនេះឲ្យបាន។
39,work,ជួយ setup calendar invite ឲ្យ team យើងផង។
40,work,"បើអត់ទាន់ clear ទេ, let's discuss គ្នាម្ដងទៀត។"
41,work,គាត់ជា expert ខាង marketing ហ្នឹងហើយ។
